Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
Armenia,1997,6,22,1997,6,22,4,7000,,"8,000,000","10,810,811",EM-DAT,,,,,
Armenia,1998,5,30,1998,5,30,0,144,,"120,000","160,000",EM-DAT,,,,,
Australia,1971,1,26,,,,7,,,"9,000,000","47,368,421",https://www.emknowledge.gov.au/resource/254/1971/flood---woden-valley-act-1971,,,,,
Australia,1971,2,9,1971,2,9,27,0,,"20,000,000","105,263,158",EM-DAT,,,,,
Australia,1973,12,,1973,12,,12,12000,,"71,000,000","355,000,000",EM-DAT,,,,,
Australia,1974,1,,1974,1,,14,0,,"5,972,000","25,965,217",EM-DAT,,,,,
Australia,1975,3,,1975,3,,0,0,,"54,684,000","218,736,000",EM-DAT,,,,,
Australia,1977,3,,1977,3,,0,0,,"17,686,000","63,164,286",EM-DAT,,,,,
Australia,1978,3,,1978,3,,6,0,,"17,258,000","57,526,667",EM-DAT,,,,,
Australia,1978,5,,1978,5,,1,0,,"3,452,000","11,506,667",EM-DAT,,,,,
Australia,1981,1,,1981,1,,2,0,,"11,279,000","26,854,762",EM-DAT,,,,,
Australia,1981,2,,1981,2,,0,0,,"38,236,000","91,038,095",EM-DAT,,,,,
Australia,1981,8,,1981,8,,0,0,,"150,000,000","357,142,857",EM-DAT,,,,,
Australia,1984,11,9,1984,11,9,36,0,,"3,000,000","6,250,000",EM-DAT,,,,,
Australia,1985,12,,1985,12,,0,0,,"5,778,000","11,791,837",EM-DAT,,,,,
Australia,1986,8,3,1986,8,3,8,0,,"64,200,000","128,400,000",EM-DAT,,,,,
Australia,1988,4,,1988,4,,0,0,,"68,055,000","126,027,778",EM-DAT,,,,,
Australia,1990,4,18,1990,4,24,6,6000,,"195,500,000",325833333.3,EM-DAT,,,,,
Australia,1993,10,3,1993,10,15,1,20530,,"4,600,000","6,969,697",EM-DAT,,,,,
Australia,1996,5,2,1996,5,9,4,10120,,"205,300,000","285,138,889","EM-DAT,Austrilia GOV,",,,,,
Australia,1996,11,25,1996,11,25,1,3106,,"131,000,000","181,944,444",EM-DAT,,,,,
Australia,1998,1,1,1998,2,1,2,200,,"61,300,000","81,733,333",EM-DAT,,,,,
Australia,1998,1,25,1998,1,28,2,1175,,"100,000,000","133,333,333",EM-DAT,,,,,
Australia,1998,7,19,1998,9,10,1,,,"100,000,000","133,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2000,2,18,2000,3,1,1,,,"50,000,000","63,291,139",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2000,11,17,2000,12,2,0,600,,"265,000,000","335,443,038",EM-DAT,,,,,
Australia,2001,1,,2001,1,,1,330,,"12,000,000","14,814,815",EM-DAT,,,,,
