Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
China P Rep,2013,5,19,2013,5,23,12,100000,,"445,000,000","415,887,850",EM-DAT,,,,,
China P Rep,2013,5,24,2013,5,27,12,200000,,"333,000,000","311,214,953",EM-DAT,,,,,
China P Rep,2013,6,5,2013,6,8,15,10000,,"277,000,000","258,878,505",EM-DAT,,,,,
China P Rep,2013,6,14,2013,6,21,11,280500,,"555,000,000","518,691,589",EM-DAT,,,,,
China P Rep,2013,6,29,2013,7,3,55,625000,,"1,400,000,000","1,308,411,215",EM-DAT,,,,,
China P Rep,2013,7,7,2013,7,17,233,3500000,,"4,621,600,000","4,319,252,336",EM-DAT,,,,,
China P Rep,2013,7,21,2013,7,25,36,718500,,"1,400,000,000","1,308,411,215",EM-DAT,,,,,
China P Rep,2013,7,25,2013,8,1,10,125000,,"571,000,000","533,644,860",EM-DAT,,,,,
China P Rep,2013,8,12,2013,9,5,118,1075000,,"4,960,000,000","4,635,514,019",EM-DAT,,,,,
China P Rep,2013,8,18,2013,8,21,43,255000,,"457,000,000","427,102,804",EM-DAT,,,,,
China P Rep,2013,9,16,2013,9,18,17,150030,,"343,000,000","320,560,748",EM-DAT,,,,,
China P Rep,2013,12,14,2013,12,16,0,90000,,"410,000,000","383,177,570",EM-DAT,,,,,
China P Rep,2014,5,12,2014,5,16,53,0,,"700,000,000","642,201,835",EM-DAT,,,,,
China P Rep,2014,5,24,2014,6,3,37,475000,,"1,200,000,000","1,100,917,431",EM-DAT,,,,,
China P Rep,2014,6,1,2014,6,7,33,720000,,"677,000,000","621,100,917",EM-DAT,,,,,
China P Rep,2014,6,4,2014,6,28,37,450000,,"1,100,000,000","1,009,174,312",EM-DAT,,,,,
China P Rep,2014,6,17,2014,6,21,24,15000000,,"900,000,000","825,688,073",EM-DAT,,,,,
China P Rep,2014,6,25,2014,6,30,24,150000,,"483,000,000","443,119,266",EM-DAT,,,,,
China P Rep,2014,7,3,2014,7,7,23,25000,,"500,000,000","458,715,596",EM-DAT,,,,,
China P Rep,2014,7,13,2014,7,18,66,110500,,"1,250,000,000","1,146,788,991",EM-DAT,,,,,
China P Rep,2014,8,11,2014,8,19,27,150000,,"487,000,000","446,788,991",EM-DAT,,,,,
China P Rep,2014,8,22,2014,8,28,10,50000,,"600,000,000","550,458,716",EM-DAT,,,,,
China P Rep,2014,9,1,2014,9,8,65,300000,,"570,000,000","522,935,780",EM-DAT,,,,,
China P Rep,2014,9,10,2014,9,17,50,1065000,,"1,400,000,000","1,284,403,670",EM-DAT,,,,,
"China, Taiwan - Tropical Storm Polly",1992,8,29,1992,9,2,168,,,"350,000,000","546,875,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Colombia,1969,12,,1970,2,9,,"70,000",,"500,000","2,777,778",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Colombia,1970,4,,1970,4,30,,"4,000",,"50,000","277,778",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Colombia,1970,11,,1970,11,1,307,"5,000,000","105,000","138,800,000","771,111,111",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Colombia,1981,8,17,1981,8,17,150,0,,"5,000,000","11,904,762",EM-DAT,,,,,
Colombia,1984,11,,,,,50,"194,000",,"400,000,000","833,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Colombia,1997,10,14,1997,10,16,2,15000,,"3,000,000","4,054,054",EM-DAT,,,,,
Colombia,1999,10,4,1999,10,15,29,150040,,"3,000","3,947",EM-DAT,,,,,
Colombia,2005,2,11,2005,2,26,56,85729,,"10,000,000","11,111,111",EM-DAT,,,,,
Colombia,2010,4,6,2011,3,7,418,2791999,,"1,000,000,000","1,000,000,000",EM-DAT,,,,,
Colombia,2011,4,,2011,7,,138,988599,,"1,030,000,000","1,000,000,000",EM-DAT,,,,,
Colombia,2011,9,1,2011,12,29,135,498924,,"1,290,000,000","1,252,427,184",EM-DAT,,,,,
Colombia,2012,3,15,2012,5,14,48,8000,,"62,000,000","59,047,619",EM-DAT,,,,,
Colombia,2012,4,20,2012,4,26,17,56000,,"40,000,000","38,095,238",EM-DAT,,,,,
Columbia,1999,4,9,1999,4,15,26,,,"3,000","3,947",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Columbia,1986,7,10,1986,7,30,4,,,"2,500,000","5,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Columbia,1988,10,18,1988,10,25,135,,,"62,000,000","114,814,815",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Comoros,2012,4,20,2012,4,28,4,65137,,"5,000,000","4,761,905",EM-DAT,,,,,
Comoros islas,1985,2,16,1985,2,28,2,,,"5,600,000","11,428,571",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Congo,1998,11,24,1998,11,30,0,20000,,"59,000","78,667",EM-DAT,,,,,
Costa Rica,1969,10,,1970,1,7,7,"4,580",,"4,000,000","22,222,222",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Costa Rica,1970,4,9,1970,4,10,23,"10,000",,"6,000,000","33,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Costa Rica,1970,12,4,1970,12,4,1,5200,,"24,000,000","133,333,333",EM-DAT,,,,,
Costa Rica,1988,1,,1988,1,30,7,"10,000","2,500","9,000,000","16,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Costa Rica,1991,8,11,1991,8,12,1,"165,000",20000,"8,000,000","12,903,226",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Costa Rica,1994,11,4,1994,11,4,2,2556,,"3,000,000","4,411,765",EM-DAT,,,,,
Costa Rica,1995,10,6,1995,11,9,,,,"6,300,000","9,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Costa Rica,1996,2,7,1996,2,14,6,20000,,"250,000,000","347,222,222",EM-DAT,,,,,
Costa Rica,1999,9,24,1999,9,30,9,9993,,"1,000,000","1,315,789",EM-DAT,,,,,
Costa Rica,2002,5,6,2002,5,11,0,20000,,"1,000,000","1,219,512",EM-DAT,,,,,
Costa Rica,2005,1,11,2005,1,18,4,2143,,"25,000,000","27,777,778",EM-DAT,,,,,
Costa Rica,2007,10,12,2007,10,26,19,12000,,"80,000,000","84,210,526",EM-DAT,,,,,
Costa Rica and Panama,1993,12,9,1993,12,12,4,,,"3,000,000","4,545,455",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Croatia,1998,9,15,1998,9,16,0,,,"10,000,000","13,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Croatia,2010,6,3,2010,6,3,0,300,,"80,000,000","80,000,000",EM-DAT,,,,,
Cuba,1983,2,,1983,2,,15,164575,,"60,000,000","130,434,783",EM-DAT,,,,,
Cuba,1992,2,6,1992,2,10,0,9127,,"2,590,000","4,046,875",EM-DAT,,,,,
Cuba,1993,11,24,1993,11,28,34,532000,,"140,000,000","212,121,212",EM-DAT,,,,,
Czech Rep,1996,5,10,1996,5,14,1,60,,"36,000,000","50,000,000",EM-DAT,,,,,
Czech Rep,1997,7,2,1997,7,24,29,102107,,"1,850,000,000","2,500,000,000",EM-DAT,,,,,
Czech Rep,1998,7,23,1998,7,27,6,0,,"52,000,000","69,333,333",EM-DAT,,,,,
Czech Rep,2000,3,8,2000,3,13,0,0,,"80,000,000","101,265,823",EM-DAT,,,,,
Czech Rep,2009,6,22,2009,6,28,13,14450,,"150,000,000","153,061,224",EM-DAT,,,,,
Czech Rep,2010,5,15,2010,5,26,1,1200,,"190,000,000","190,000,000",EM-DAT,,,,,
Czech Rep,2010,8,7,2010,8,8,7,200,,"157,560,000","157,560,000",EM-DAT,,,,,
Czech Rep,2013,6,1,2013,6,7,15,1300000,,"828,552,000","774,347,664",EM-DAT,,,,,
Czech Republic,2002,8,7,2002,8,28,55,,,"20,000,000,000","24,390,243,902",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Czech Republic,2006,3,28,2006,4,17,9,,,"217,000,000","235,869,565",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Czechoslovakia,1987,5,24,1987,5,24,0,0,,"1,000,000","1,923,077",EM-DAT,,,,,
"Democratic Republic of Congo, Congo Republic",1999,11,29,1999,12,31,2,,,"30,000,000","39,473,684",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Djibduti,1977,10,,1977,10,24,,"85,000",6000,"2,500,000","8,928,571",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Djibduti,1989,4,,1989,4,8,10,"150,000","150,000","1,100,000","1,929,825",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Djibouti,1994,11,19,1994,11,19,145,120000,,"2,119,000","3,116,176",EM-DAT,,,,,
Dominican Rep,2002,5,24,2002,6,7,3,1750,,"500,000","609,756",EM-DAT,,,,,
Dominican Rep,2003,4,16,2003,4,22,1,460,,"2,100,000","2,500,000",EM-DAT,,,,,
Dominican Rep,2003,11,14,2003,11,14,9,65003,,"42,620,000","50,738,095",EM-DAT,,,,,
Dominican Rep,2009,2,2,2009,2,12,5,10000,,"8,403,000","8,574,490",EM-DAT,,,,,
Dominican Rep,2013,12,23,2013,12,25,0,0,,"102,000","95,327",EM-DAT,,,,,
Domnican Republic,2009,1,8,2009,1,16,11,,,"44,000,000","44,897,959",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Eastern China,1993,6,15,1993,7,8,132,,,"860,000,000","1,303,030,303",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Ecuador,1965,4,,1965,7,1,,"50,000",,"4,000,000","28,571,429",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Ecuador,1967,2,8,1967,2,1,,"20,000",400,"100,000","666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Ecuador,1970,4,8,1970,4,8,20,140500,,"500,000","2,777,778",EM-DAT,,,,,
Ecuador,1970,11,,1970,11,,0,10100,,"20,000","111,111",EM-DAT,,,,,
Ecuador,1971,7,1,,,,,"2,400",,"50,000","263,158",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Ecuador,1982,11,,1983,7,,307,700000,,"232,100,000","504,565,217",EM-DAT,,,,,
Ecuador,1989,6,,1989,6,,35,30000,,"15,000,000","26,315,789",EM-DAT,,,,,
Ecuador,1991,2,2,1991,2,8,14,,,"2,000,000","3,225,806",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Ecuador,1992,3,24,1992,5,8,22,205000,,"20,000,000","31,250,000",EM-DAT,,,,,
Ecuador,1997,10,,1998,3,,218,35091,,"271,000,000","361,333,333",EM-DAT,,,,,
Ecuador,2002,3,6,2002,4,29,31,54113,,"13,000,000","15,853,659",EM-DAT,,,,,
Ecuador,2002,3,19,2002,3,19,0,520,,"3,000,000","3,658,537",EM-DAT,,,,,
Ecuador,2006,2,16,2006,5,6,16,57670,,"2,800,000","3,043,478",EM-DAT,,,,,
Ecuador,2008,1,30,2008,3,3,41,289122,,"1,000,000,000","1,010,101,010",EM-DAT,,,,,
Egypt,1979,10,,1979,10,31,50,"66,000",,"14,000,000","42,424,242",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Egypt,1994,11,2,1994,11,8,600,160660,,"140,000,000","205,882,353",EM-DAT,,,,,
Egypt,1997,10,18,1997,10,20,4,0,,"1,000,000","1,351,351",EM-DAT,,,,,
El Salvador,1982,9,17,1982,9,21,500,"50,000",,"280,000,000","636,363,636",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
El Salvador,1999,9,10,1999,9,13,7,5450,,"1,500,000","1,973,684",EM-DAT,,,,,
El Salvador,2011,9,,2011,10,17,35,300000,,"1,000,000,000","970,873,786",EM-DAT,,,,,
England,1998,4,10,1998,4,13,5,,,"1,270,000,000","1,693,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
England and Wales,1990,1,26,1990,2,10,47,,,"2,000,000,000",3333333333,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
England and Wales,1990,2,26,1990,2,28,17,,,"2,000,000,000",3333333333,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Estonia,2003,8,5,2003,8,6,,,,"383,000","455,952",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Ethiopia,1968,5,7,1968,5,14,1,"10,000","6,000","920,000","5,750,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Ethiopia,1994,8,15,1994,8,18,4,43014,,"3,500,000","5,147,059",EM-DAT,,,,,
Ethiopia,1995,4,28,1995,5,15,27,93875,,"500,000","714,286",EM-DAT,,,,,
Ethiopia,1999,8,23,1999,9,9,0,6755,,"2,700,000","3,552,632",EM-DAT,,,,,
Ethiopia,2005,4,23,2005,4,26,156,235418,,"5,000,000","5,555,556",EM-DAT,,,,,
Ethiopia,2005,5,20,2005,5,22,42,0,,"1,200,000","1,333,333",EM-DAT,,,,,
Ethiopia,2006,8,5,2006,8,8,498,10096,,"3,200,000","3,478,261",EM-DAT,,,,,
Ethiopia,2013,4,10,2013,4,30,0,51500,,"2,200,000","2,056,075",EM-DAT,,,,,
Fiji,1964,3,22,1964,4,1,1,"8,000","10,000","1,100,000","7,857,143",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Fiji,1986,4,12,1986,4,12,19,215000,,"15,400,000","30,800,000",EM-DAT,,,,,
Fiji,2004,4,8,2004,4,18,10,,,"2,600,000","2,988,506",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Fiji,2006,2,4,2006,2,9,4,224,,"500,000","543,478",EM-DAT,,,,,
Fiji,2007,2,3,2007,2,20,1,900,,"30,000,000","31,578,947",EM-DAT,,,,,
Fiji,2007,3,9,2007,3,12,5,,,"7,000,000","7,368,421",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Fiji,2009,1,8,2009,1,16,11,,,"44,000,000","44,897,959",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Fiji,2012,1,22,2012,2,6,10,4561,,"17,000,000","16,190,476",EM-DAT,,,,,
Fiji,2012,3,29,2012,3,30,5,14984,,"72,000,000","68,571,429",EM-DAT,,,,,
Fiji and Solomon Islands - Cyclones Kina & Nina,1993,1,1,1993,1,3,21,,,"64,000,000","96,969,697",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
France,1982,12,,,,,18,,,"60,000,000","136,363,636",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
France,1983,3,,1983,5,,18,212,,"604,000,000","1,313,043,478",EM-DAT,,,,,
France,1983,8,,1983,8,,0,0,,"5,500,000","11,956,522",EM-DAT,,,,,
France,1988,10,3,1988,10,3,10,300,,"500,000,000","925,925,926",EM-DAT,,,,,
France,1993,12,20,1993,12,31,4,0,,"600,000,000","909,090,909","EM-DAT,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html",,,,,
France,1994,1,7,1994,1,12,10,210,,"5,000,000","7,352,941",EM-DAT,,,,,
France,1994,11,5,1994,11,5,3,0,,"95,000,000","139,705,882",EM-DAT,,,,,
France,1995,1,20,1995,1,30,16,,,"760,000,000","1,085,714,286",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
France,1996,1,27,1996,1,30,4,600,,"6,000,000","8,333,333",EM-DAT,,,,,
France,1999,11,12,1999,11,15,36,3005,,"500,000,000","657,894,737",EM-DAT,,,,,
France,2001,3,21,2001,3,28,3,8100,,"132,350,000","163,395,062",EM-DAT,,,,,
France,2002,9,8,2002,9,12,23,2500,,"1,190,000,000","1,451,219,512",EM-DAT,,,,,
France,2003,12,2,2003,12,3,9,27000,,"1,500,000,000","1,785,714,286",EM-DAT,,,,,
France,2010,6,15,2010,6,16,25,0,,"1,500,000,000","1,500,000,000",EM-DAT,,,,,
France,2010,6,16,2010,6,17,19,,,"1,100,000,000","1,100,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
France,2013,6,18,2013,6,19,2,2000,,"655,000,000","612,149,533",EM-DAT,,,,,
France,2014,11,29,2014,12,5,5,3000,,"303,000,000","277,981,651",EM-DAT,,,,,
Georgia,1987,1,28,1987,2,14,110,,,"583,000,000","1,121,153,846",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Georgia,1995,7,1,1995,7,11,5,,,"2,200,000","3,142,857",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Georgia,1997,1,1,1997,1,6,3,0,,"19,500,000","26,351,351",EM-DAT,,,,,
Georgia,1997,4,26,1997,5,2,4,300,,"10,000,000","13,513,514",EM-DAT,,,,,
Georgia,2002,6,29,2002,7,2,,,,"3,000,000","3,658,537",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Georgia,2004,6,9,2004,6,12,,,,"3,000,000","3,448,276",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Georgia,2004,7,15,2004,7,20,1,90,,"2,156,000","2,478,161",EM-DAT,,,,,
Georgia,2012,5,12,2012,5,16,5,100018,,"3,000,000","2,857,143",EM-DAT,,,,,
Georgia,2005,6,5,2005,6,17,1,,,"2,000,000","2,222,222",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Germany,1992,8,28,1992,8,30,0,0,,"30,100,000","47,031,250",EM-DAT,,,,,
Germany,1993,12,21,1993,12,31,5,100000,,"600,000,000","909,090,909",EM-DAT,,,,,
Germany,1994,1,7,1994,1,12,0,0,,"200,000,000","294,117,647",EM-DAT,,,,,
Germany,1994,4,13,1994,4,13,2,0,,"193,500,000","284,558,824",EM-DAT,,,,,
Germany,1997,7,4,1997,8,9,0,5200,,"360,000,000","486,486,486",EM-DAT,,,,,
Germany,2002,8,11,2002,8,20,27,330108,,"11,600,000,000","14,146,341,463",EM-DAT,,,,,
Germany,2005,8,21,2005,8,26,1,0,,"220,000,000","244,444,444",EM-DAT,,,,,
Germany,2009,6,22,2009,6,26,0,0,,"20,000,000","20,408,163",EM-DAT,,,,,
Germany,2013,5,28,2013,6,18,4,6350,,"12,900,000,000","12,056,074,766",EM-DAT,,,,,
Germany Fed Rep,1978,5,,1978,5,,2,0,,"330,000,000","1,100,000,000",EM-DAT,,,,,
Germany Fed Rep,1991,8,1,1991,8,5,5,0,,"56,000,000","90,322,581",EM-DAT,,,,,
"Germany, Austria, Switzerland",1999,5,22,1999,5,29,6,,,"1,170,000,000","1,539,473,684",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Ghana,1968,7,,1968,10,1,,"25,000","25,000","74,700,000","466,875,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Ghana,1995,7,5,1995,7,7,22,,,"15,000,000","21,428,571",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Ghana,1999,9,,1999,9,,52,324602,,"21,000,000","27,631,579",EM-DAT,,,,,
Greece,1973,6,,1973,6,28,5,1000,,"2,500,000","12,500,000",EM-DAT,,,,,
Greece,1977,10,1,1977,11,30,27,1600,,"28,000,000","100,000,000",EM-DAT,,,,,
Greece,1994,10,24,1994,10,27,14,,,"437,700,000","643,676,471",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Greece,1997,1,12,1997,1,13,9,0,,"160,000,000","216,216,216",EM-DAT,,,,,
Greece,2003,2,2,2003,2,2,0,0,,"600,000,000","714,285,714",EM-DAT,,,,,
Greece,2006,10,8,2006,10,12,1,3000,,"5,659,000","6,151,087",EM-DAT,,,,,
Grenada,1975,11,,1975,11,,0,0,,"4,700,000","18,800,000",EM-DAT,,,,,
"Guatamala,El Salvador,Honduras",2010,5,18,2010,5,24,172,,,"1,100,000,000","1,100,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Guatemala,1982,9,20,1982,9,20,620,20256,,"100,000,000","227,272,727",EM-DAT,,,,,
Guatemala,1999,9,1,1999,9,1,12,6023,,"1,000,000","1,315,789",EM-DAT,,,,,
Guatemala,2011,10,12,2011,11,,43,528753,,"61,913,000","60,109,709",EM-DAT,,,,,
Guyana,1971,7,,1971,7,14,,"21,000",,"200,000","1,052,632",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Guyana,1990,4,25,1990,5,4,,,,"100,000",166666.6667,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Guyana,2005,1,15,2005,2,25,34,274774,,"465,100,000","516,777,778",EM-DAT,,,,,
Guyana,2006,1,8,2006,2,14,0,35000,,"169,000,000","183,695,652",EM-DAT,,,,,
haiti,1972,5,20,1972,5,25,78,"40,000",,"959,000","5,047,368",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Haiti,2002,5,23,2002,6,5,31,38339,,"1,000,000","1,219,512",EM-DAT,,,,,
Haiti - Typhoon Gordon,1994,11,5,1994,11,15,400,,,"3,000,000","4,411,765",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Hawaii - Hurricane Iniki,1992,9,10,1992,9,12,3,,,"500,000,000","781,250,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Honduras,1965,9,24,1965,9,28,,"6,000","6,000","500,000","3,571,429",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Honduras,1971,11,,1971,11,16,1,"40,000",,"13,000,000","68,421,053",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Honduras,1979,11,,1979,11,,1,40000,,"13,000,000","39,393,939",EM-DAT,,,,,
Honduras,1982,5,24,1982,6,3,130,"20,000",0,"101,000,000","229,545,455",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Honduras,1990,11,9,1990,11,21,5,48000,,"100,000,000",166666666.7,EM-DAT,,,,,
Honduras,1993,9,2,1993,9,2,39,67447,,"57,600,000","87,272,727",EM-DAT,,,,,
Honduras,1993,10,31,1993,11,3,374,15000,,"56,700,000","85,909,091",EM-DAT,,,,,
Honduras,1995,9,9,1995,9,12,14,25000,,"4,000,000","5,714,286",EM-DAT,,,,,
Honduras,1996,11,20,1996,11,20,7,75000,,"31,000,000","43,055,556",EM-DAT,,,,,
Honduras,1999,10,,1999,10,,34,503001,,"1,500,000","1,973,684",EM-DAT,,,,,
Honduras,2001,10,26,2001,11,15,19,,,"18,000,000","22,222,222",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Honduras,2002,5,23,2002,6,5,10,969,,"100,000,000","121,951,220",EM-DAT,,,,,
Honduras,2003,11,28,2003,12,24,7,3000,,"20,000,000","23,809,524",EM-DAT,,,,,
Honduras,2006,6,25,2006,7,1,4,1500,,"8,000,000","8,695,652",EM-DAT,,,,,
Honduras,2008,10,19,2008,11,12,110,,,"15,000,000","15,151,515",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Honduras,2014,10,15,2014,10,17,4,3000,,"1,400,000","1,284,404",EM-DAT,,,,,
Hong Kong (China),1992,4,1,1992,5,8,5,1628,,"50,000,000","78,125,000",EM-DAT,,,,,
Hong Kong (China),1994,7,22,1994,7,24,1,4017,,"37,000,000","54,411,765",EM-DAT,,,,,
Hong Kong (China),1997,5,7,1997,5,9,80,0,,"10,000,000","13,513,514",EM-DAT,,,,,
Hungary,1970,5,1,1970,6,30,300,0,,"85,000,000","472,222,222",EM-DAT,,,,,
Hungary,1997,7,4,1997,8,9,0,0,,"10,000,000","13,513,514",EM-DAT,,,,,
Hungary,1999,2,21,1999,3,18,0,90700,,"165,000,000","217,105,263",EM-DAT,,,,,
Hungary,1999,7,9,1999,7,16,8,42795,,"128,400,000","168,947,368",EM-DAT,,,,,
Hungary,2000,4,6,2000,5,1,1,2000,,"55,000,000","69,620,253",EM-DAT,,,,,
Hungary,2001,3,4,2001,3,17,0,10000,,"5,000,000","6,172,840",EM-DAT,,,,,
Hungary,2002,8,7,2002,8,28,0,1430,,"30,000,000","36,585,366",EM-DAT,,,,,
Hungary,2005,8,14,2005,8,26,0,0,,"48,000,000","53,333,333",EM-DAT,,,,,
Hungary,2006,3,28,2006,5,9,3,,,"37,000,000","40,217,391",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Hungary,2010,5,15,2010,6,7,1,2000,,"440,000,000","440,000,000",EM-DAT,,,,,
Iceland,1996,11,6,1996,11,7,0,,,"12,000,000","16,666,667",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
India,1964,10,,1964,10,,,"18,400",,"500,000","3,571,429",EM-DAT,,,,,
India,1966,6,,1966,6,1,47,"900,000",,"1,400,000","9,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
India,1968,7,,1968,10,1,"4,892","7,500,000",,"94,200,000","588,750,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
India,1970,7,,1970,7,,627,10351000,,"101,200,000","562,222,222",EM-DAT,,,,,
India,1971,6,,1971,6,,1023,0,,"530,000,000","2,789,473,684",EM-DAT,,,,,
India,1975,7,,1975,9,2,350,"27,000,000","7,000,000","714,259,000","2,857,036,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
India,1978,7,,1978,9,7,3800,"32,000,000",,"165,000,000","550,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
India,1978,9,,1978,9,,810,0,,"1,000,000","3,333,333",EM-DAT,,,,,
India,1979,7,,,,,100,"1,000,000","10,000","100,000,000","303,030,303",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
India,1980,8,,1980,8,,1600,30000023,,320000000,"842,105,263",EM-DAT,,,,,
